id	name	wiki_title	endowment_raw	old_placeholder_b
uwseattle	University of Washington	Campus of the University of Washington		2.7
ucsb	UC Santa Barbara	University of California, Santa Barbara	$665.9 million (2024)<ref name=NACUBO>As of February 26, 2025. {{cite web	3.8
coloradomines	Colorado School of Mines	Colorado School of Mines	$463.3 million (2025)<ref>{{cite web	0.35
georgiastate	Georgia State University	Georgia State University	$256.5 million (2024)<ref name=endowment>{{cite web	0.15
jamesmadison	James Madison University	James Madison University	$181 million (2025)<ref>{{cite web	0.12
ucriverside	UC Riverside	University of California, Riverside	$249.87 million (2023)<ref name="UCEndowment">As of June 30, 2023. {{cite web	0.25
ucsc	UC Santa Cruz	University of California, Santa Cruz	$359.62 million (2025)<ref name="UCEndowment">As of 2025. {{cite web	0.25
ucf	University of Central Florida	University of Central Florida	$266.7 million ([[Fiscal year	0.25
uconn	University of Connecticut	University of Connecticut	$668.6 million (2025)<ref>{{cite web	0.65
houston	University of Houston	University of Houston	{{US$	1.1
unm	University of New Mexico	University of New Mexico	$887 million (2025)<ref>{{cite web	0.5
uncc	UNC Charlotte	University of North Carolina at Charlotte	$376.7 million (2025)<ref>{{cite web	0.15
oklahoma	University of Oklahoma	University of Oklahoma	$1.81 billion (FY2024)<ref>As of June 30, 2024. {{Cite web	1.5
washstate	Washington State University	University of Washington	$5.96 billion (2025)<ref>{{cite report	1.1
waynestate	Wayne State University	Wayne State University	$636 million (2025)<ref>{{cite web	0.45
yeshiva	Yeshiva University	Yeshiva University	$714.15 million (2025)<ref>{{cite web	0.6
rpi	Rensselaer Polytechnic Institute	Rensselaer Polytechnic Institute	$1.02 billion (2025)<ref>{{cite web	0.9
stevens	Stevens Institute of Technology	Stevens Institute of Technology	$387.7 million (2025)<ref>{{cite web	0.25
calpoly	Cal Poly San Luis Obispo	California Polytechnic State University, San Luis Obispo	$335.8 million (2025)<ref>{{cite web	0.25
coloradostate	Colorado State University	Colorado State University	$667.5 million (2025)<ref>{{cite web	0.55
fresnostate	Fresno State	California State University, Fresno	$254.8 million (2023–24)<ref name=NACUBO>As of June 30, 2024. {{Cite web	1.0
fiu	Florida International University	Florida International University	$380.1 million (2025)<ref>{{cite web	0.25
harveymudd	Harvey Mudd College	Harvey Mudd College	$454.55 million (2024)<ref name=NACUBO>As of June 30, 2024. {{cite web	0.35
illinoischicago	University of Illinois Chicago	University of Illinois Chicago	$527.9 million (2025)<ref>{{cite web	0.6
usfca	University of San Francisco	University of California, San Francisco	$2.95 billion (2024)<ref name=NACUBO>As of June 30, 2024. {{cite web	0.5
sdsu	San Diego State University	San Diego State University	$456.6 million (2023–24)<ref name=NACUBO>As of June 30, 2024. {{Cite web	0.5
sjsu	San Jose State University	San Jose State University	$264.6 million (2025–26)<ref>{{cite web	0.2
unlv	University of Nevada Las Vegas	University of Nevada, Las Vegas	$470.85 million (2025)<ref>{{cite web	0.3
unr	University of Nevada Reno	University of Nevada, Reno	$640.3 million (2025)<ref>{{cite web	0.4
maine	University of Maine	University of Maine	$442.2 million (2025)<ref>{{cite web	0.4
uri	University of Rhode Island	University of Rhode Island	$278.7 million (2025)<ref>{{cite web	0.2
hawaii	University of Hawaii at Manoa	University of Hawaiʻi at Mānoa	$632.1 million (2025)<br />(system-wide)<ref>{{cite web	0.4
montanastate	Montana State University	Montana State University	$319.6 million (2025)<ref>{{cite web	0.2
montana	University of Montana	University of Montana	$320.7 million (2025)<ref>{{cite web	0.2
ndsu	North Dakota State University	North Dakota State University	$528 million (2025)<ref>{{cite web	0.3
und	University of North Dakota	North Dakota State University	$528 million (2025)<ref>{{cite web	0.3
