id	name	wiki_title	lat	lon	coord_source	note
stanford	Stanford	Stanford University	37.4275	-122.17	secondary	auto-pick jacc=1.00; alt=Stanford University School of Medicine(0.50)|Stanford University Medical Center(0.33)
mit	MIT	Massachusetts Institute of Technology	42.3597	-71.0919	secondary	auto-pick jacc=1.00; alt=Hacks at the Massachusetts Institute of Technology(0.67)|List of presidents of the Massachusetts Institute of Technology(0.50)
harvard	Harvard	Harvard University	42.37444444	-71.11694444	secondary	auto-pick jacc=1.00; alt=Harvard University Press(0.50)|List of Harvard University people(0.33)
caltech	Caltech	California Institute of Technology	34.1375	-118.125	secondary	auto-pick jacc=1.00; alt=Campus of the California Institute of Technology(1.00)|List of California Institute of Technology people(0.50)
princeton	Princeton	Princeton University	40.34527778	-74.65611111	secondary	auto-pick jacc=1.00; alt=Princeton University Press(0.50)|List of Princeton University people(0.33)
penn	University of Pennsylvania	University of Pennsylvania	39.95194444	-75.19361111	secondary	auto-pick jacc=1.00; alt=Pennsylvania State University(0.50)|List of colleges and universities in Pennsylvania(0.50)
brandeis	Brandeis University	Brandeis University	42.365664	-71.259742	secondary	auto-pick jacc=1.00; alt=Louis Brandeis(0.50)|Brandeis University Press(0.50)
villanova	Villanova University	Villanova University	40.03771	-75.33755	secondary	auto-pick jacc=1.00; alt=Villanova Wildcats(0.50)|Villanova University School of Law(0.50)
howard	Howard University	Howard University	38.92222222	-77.01944444	secondary	auto-pick jacc=1.00; alt=Howard University Hospital(0.50)|Oliver Otis Howard(0.33)
uf	University of Florida	University of Florida	29.6475	-82.345	secondary	auto-pick jacc=1.00; alt=University of Central Florida(0.50)|List of colleges and universities in Florida(0.50)
pepperdine	Pepperdine University	Pepperdine University	34.03868333	-118.70758056	secondary	auto-pick jacc=1.00; alt=Pepperdine University School of Law(0.50)|List of Pepperdine University people(0.33)
yale	Yale University	Yale University	41.31638889	-72.92222222	secondary	auto-pick jacc=1.00; alt=Yale University Press(0.50)|Coat of arms of Yale University(0.33)
ohiostate	Ohio State University	Ohio State University	40.00055556	-83.01444444	secondary	auto-pick jacc=1.00; alt=Ohio State University Wexner Medical Center(0.40)|Wright State University(0.33)
washu	Washington University in St. Louis	Washington University in St. Louis	38.648	-90.305	secondary	auto-pick jacc=1.00; alt=St. Louis(0.67)|University of Missouri–St. Louis(0.50)
duke	Duke University	Duke University	36.00138889	-78.93833333	secondary	auto-pick jacc=1.00; alt=List of Duke University people(0.33)|Duke lacrosse rape hoax(0.25)
carnegiemell	Carnegie Mellon	Carnegie Mellon University	40.4425	-79.94333333	secondary	auto-pick jacc=1.00; alt=Carnegie Mellon University traditions(0.67)|List of Carnegie Mellon University people(0.50)
uwmadison	UW-Madison	University of Wisconsin–Madison	43.0753	-89.4042	secondary	auto-pick jacc=1.00; alt=Madison, Wisconsin(1.00)|University of Wisconsin–Madison Arboretum(0.67)
umd	University of Maryland	University of Maryland, College Park	38.9881	-76.9425	secondary	auto-pick jacc=1.00; alt=College Park, Maryland(1.00)|College Park–University of Maryland station(0.67)
lmu	Loyola Marymount University	Loyola Marymount University	33.97	-118.418	secondary	auto-pick jacc=1.00; alt=Loyola Marymount Lions men's basketball(0.33)|Loyola Law School(0.33)
tulane	Tulane University	Tulane University	29.94	-90.12	secondary	auto-pick jacc=0.50; alt=Paul Tulane(0.33)|Tulane University School of Medicine(0.33)
santaclara	Santa Clara University	Santa Clara University	37.34916667	-121.93805556	secondary	auto-pick jacc=1.00; alt=Santa Clara, California(0.67)|Santa Clara University School of Law(0.67)
ucberkeley	UC Berkeley	University of California, Berkeley	37.8719	-122.2583	secondary	auto-pick jacc=1.00; alt=Berkeley, California(1.00)|List of chancellors of the University of California, Berkeley(0.50)
emory	Emory University	Emory University	33.79111111	-84.32333333	secondary	auto-pick jacc=1.00; alt=Emory University Hospital(0.50)|Oxford College of Emory University(0.50)
asu	Arizona State University	Arizona State University	33.4209	-111.934	secondary	auto-pick jacc=0.67; alt=List of the largest United States colleges and universities by enrollment(0.00)|Hispanic-Serving Institution(0.00)
georgiatech	Georgia Tech	Main campus of the Georgia Institute of Technology				auto-pick jacc=1.00; alt=History of the Georgia Institute of Technology(0.67)|Georgia Tech(0.33); NO-COORDS on page
vanderbilt	Vanderbilt University	Vanderbilt University	36.1475	-86.8025	secondary	auto-pick jacc=1.00; alt=Cornelius Vanderbilt(0.50)|Vanderbilt University Medical Center(0.33)
lehigh	Lehigh University	Lehigh University	40.60611111	-75.37722222	secondary	auto-pick jacc=1.00; alt=List of Lehigh University people(0.33)|Lehigh Mountain Hawks football(0.25)
cornell	Cornell University	Cornell University	42.4492	-76.4839	secondary	auto-pick jacc=1.00; alt=Ezra Cornell(0.50)|History of Cornell University(0.50)
bostonuniver	Boston University	Boston University	42.34888889	-71.10027778	secondary	auto-pick jacc=1.00; alt=University of Massachusetts Boston(0.50)|List of colleges and universities in metropolitan Boston(0.33)
michigan	University of Michigan	Ann Arbor, Michigan	42.28138889	-83.74833333	secondary	auto-pick jacc=1.00; alt=Concordia University Ann Arbor(0.50)|University of Michigan(0.33)
usd	University of San Diego	University of San Diego	32.77111111	-117.1875	secondary	auto-pick jacc=1.00; alt=San Diego(1.00)|University of California, San Diego(0.50)
northeastern	Northeastern University	Northeastern University	42.34	-71.08833333	secondary	auto-pick jacc=1.00; alt=Northeastern University – London(0.50)|Northeastern University (China)(0.50)
uwseattle	University of Washington	University of Washington	47.6542	-122.3081	secondary	forced-title (v0.19 trap)
ucla	UCLA	University of California, Los Angeles	34.0722	-118.4427	secondary	auto-pick jacc=1.00; alt=California State University, Los Angeles(0.75)|South Los Angeles(0.50)
chapman	Chapman University	Chapman University	33.79277778	-117.85138889	secondary	auto-pick jacc=1.00; alt=Chapman University School of Law(0.50)|University of Massachusetts Global(0.00)
utaustin	UT Austin	University of Texas at Austin	30.285	-97.735	secondary	auto-pick jacc=1.00; alt=University of Texas at Austin School of Law(0.67)|University of Texas tower shooting(0.25)
uiuc	University of Illinois Urbana-Champaign	University of Illinois Urbana-Champaign	40.11055556	-88.22833333	secondary	auto-pick jacc=1.00; alt=Champaign, Illinois(0.67)|Urbana, Illinois(0.67)
pennstate	Penn State	Pennsylvania State University	40.79833333	-77.86	secondary	auto-pick jacc=1.00; alt=Old Main (Pennsylvania State University)(0.67)|Pennsylvania State University Commonwealth Campuses(0.50)
columbia	Columbia University	Trustees of Columbia University in the City of New York	40.80826	-73.96188	secondary	auto-pick jacc=0.80; alt=Columbia University(0.25)|Columbia College, Columbia University(0.25)
ucd	UC Davis	University of California, Davis	38.54	-121.75	secondary	auto-pick jacc=1.00; alt=Davis, California(1.00)|List of University of California, Davis alumni(0.50)
texasa&m	Texas A&M University	Texas A&M University	30.61	-96.35	secondary	auto-pick jacc=0.67; alt=Texas A&M University System(0.67)|West Texas A&M University(0.50)
northwestern	Northwestern University	Northwestern University	42.05583333	-87.67472222	secondary	auto-pick jacc=1.00; alt=Northwestern University (disambiguation)(0.50)|Northwestern Wildcats football(0.33)
johnshopkins	Johns Hopkins University	Johns Hopkins University	39.32888889	-76.62027778	secondary	auto-pick jacc=1.00; alt=Johns Hopkins Hospital(0.67)|Johns Hopkins School of Medicine(0.67)
